Top 3
E : 136960
A : 104704
O : 78336

Top 5
E : 136960
A : 104704
O : 78336
T : 74752
N : 68352

Top 10
E : 136960
A : 104704
O : 78336
T : 74752
N : 68352
S : 66560
I : 65792
R : 61440
D : 47104
H : 44800

All 
E : 136960
A : 104704
O : 78336
T : 74752
N : 68352
S : 66560
I : 65792
R : 61440
D : 47104
H : 44800
L : 41728
U : 33536
M : 33280
C : 28416
F : 22528
G : 16384
B : 15616
W : 15616
P : 15360
V : 13568
Y : 13056
Q : 5888
K : 3072
Z : 2048
X : 1536
J : 768

