Number of Nodes,Operations,Execution Time
10,1301,0.0021994410000000003
12,1941,0.0029951910000000003
14,2839,0.004487746
16,4175,0.006760225000000001
18,5933,0.008977013
20,8467,0.012871668000000001
22,11140,0.018366139
24,14607,0.021130937000000002
26,18682,0.028839105
28,22365,0.037831704
30,26966,0.048449155
32,33094,0.057026835000000005
34,39575,0.07120552000000001
36,46894,0.08412225000000001
38,54859,0.093542385
40,64452,0.11378658000000001
42,74813,0.128478741
44,87331,0.146101846
46,99781,0.17405807
48,111060,0.199947814
50,127241,0.23982935600000002
52,143334,0.25920385300000004
54,155711,0.28852397100000005
56,179496,0.32964301700000004
58,191451,0.39395487900000004
60,216054,0.4261088
62,237838,0.491123346
64,256598,0.517516781
66,283921,0.576434953
68,309154,0.651127364
70,331987,0.697004197
72,372191,0.781402935
74,405167,0.8577966210000001
76,437923,0.9504622810000001
78,469587,1.0099185670000002
80,526299,1.1296787400000001
82,552722,1.217771532
84,591787,1.407235625
86,641455,1.579868121
88,691325,1.7706526310000001
90,737292,1.754747387
92,789648,1.9577773
94,838599,2.1399273340000002
96,894661,2.32475049
98,938057,2.5377425390000004
100,984854,2.721345667
102,1073947,2.8322367330000002
104,1128201,3.100773255
106,1191882,3.8055223180000004
108,1272280,3.6981564130000004
110,1351359,3.9357444630000002
112,1399879,4.243168622000001
114,1492470,4.504797778
116,1568713,4.460295688
118,1661287,4.827697958
120,1727017,5.17303008
122,1845457,5.506150261
124,1929799,6.328424391
126,1993424,6.655352447
128,2093951,7.073810581
130,2205960,7.438152383
132,2305127,7.824729393
134,2409402,8.174852472000001
136,2495535,8.76126131
138,2638993,9.378953129000001
140,2694678,10.489653901
142,2877130,10.681112209
144,2999529,12.153516049
146,3097874,12.963475184
148,3234680,12.645981499000001
150,3383229,13.383572039
152,3524469,14.175684658000002
154,3696190,14.670811232
156,3777018,14.852620601000002
158,3929072,15.334825263
160,4065860,17.772624673000003
162,4240705,16.985389324
164,4443194,20.088108864000002
166,4589216,21.100426170000002
168,4793612,23.152767977
170,4927782,24.461685331
172,5094978,25.963613730000002
174,5293970,26.499089882000003
176,5474652,27.477222858
178,5694227,28.690947212
180,5844580,32.052577978
182,6061458,33.496659663
184,6214145,27.389934526
186,6502425,28.598147358000002
188,6655413,34.237840485
190,6894117,38.014332224
192,7072955,39.875682227000006
194,7286283,42.058969211000004
196,7452608,43.202506876
198,7793607,44.814439909
200,7974530,46.827617946000004
202,8163964,49.143012007
204,8511822,50.387339250000004
206,8836069,53.607372853
208,9021020,53.982888688
210,9264964,56.215986986000004
212,9487297,52.967796857
214,9717281,53.124727945000004
216,10000572,56.257767654000006
218,10514004,57.22554559300001
220,10552110,58.955438401
222,10981888,62.450711161
224,11314780,63.658014564000005
226,11669863,75.89588325000001
228,11937578,85.22397917800001
230,12189916,78.572751783
232,12334111,82.68344390700001
234,12755308,75.653458074
236,13098834,73.967138714
238,13586148,79.682918306
240,13910283,83.459560952
242,14033023,86.004498784
244,14453696,85.89817901900001
246,14686804,89.289647833
248,15235064,90.23264899300001
250,15743463,95.42293747800001
252,16122521,98.714631291
254,16442890,97.75344441
256,16679711,129.74503427300002
258,17167031,134.282520578
260,17565500,118.65891397200001
262,17783594,117.79867586200001
264,18497196,131.259506119
266,18712827,122.15539046
268,19221036,126.10899243200001
270,19958346,131.21856607
272,20102492,128.59975056300001
274,20538028,142.936406221
276,21162011,169.546823388
278,21467198,155.10556882
280,22091725,155.480915922
282,22533110,182.006847311
284,22839478,190.79541946
286,23665578,174.04832215500002
288,24177094,177.69243390300002
290,24439148,168.71680645700002
292,25018802,177.43556423200002
294,25458433,178.57446437500002
296,26027496,183.19036062400002
298,26560218,182.02610832000002
