Number of lines (excluding empty): 9024
Number of words: 45679
Number of characters (excluding newlines): 268088

Word occurrences:
el: 1953
la: 1793
en: 1366
con: 1009
los: 803
las: 608
del: 591
al: 544
su: 482
más: 295
le: 290
un: 286
lo: 271
rey: 256
gente: 247
ya: 243
mar: 238
tierra: 231
tan: 220
es: 197
si: 190
quien: 179
sus: 158
fué: 142
porque: 133
sin: 131
cual: 123
donde: 118
grande: 116
aquí: 115
cuando: 110
gran: 109
ni: 108
él: 105
tal: 101
pecho: 100
qué: 99
reino: 97
todos: 97
mundo: 95
tanto: 92
ha: 92
allí: 92
muy: 91
todo: 90
amor: 89
pues: 88
una: 85
tiempo: 85
cielo: 85
bien: 84
nombre: 83
parte: 83
tiene: 83
son: 82
dios: 79
ella: 78
guerra: 78
fama: 77
fuerte: 77
así: 76
les: 75
mil: 74
esto: 72
moro: 71
agua: 71
contra: 69
otro: 68
gama: 68
fuerza: 67
oh: 67
luego: 67
va: 63
nunca: 62
muerte: 62
después: 62
siempre: 61
mal: 61
vida: 61
ver: 60
fin: 59
van: 59
capitán: 59
cuanto: 58
mi: 57
hijo: 57
yo: 56
gentes: 56
fuego: 53
aguas: 51
claro: 51
cómo: 51
otros: 50
aunque: 49
armas: 48
tierras: 48
sobre: 47
ellos: 47
mira: 47
poder: 46
sol: 46
flota: 46
isla: 46
pueblo: 45
ahora: 44
sí: 43
gloria: 43
viento: 43
campo: 43
moros: 43
hace: 43
toda: 42
poco: 42
otra: 42
oro: 42
siendo: 42
costa: 41
tú: 41
hechos: 40
hecho: 40
dulce: 40
armada: 40
viendo: 40
ciudad: 40
valor: 39
arte: 39
ley: 39
grandes: 39
estaba: 38
suerte: 38
aquesta: 38
hasta: 38
triste: 38
dió: 37
rostro: 37
padre: 37
canto: 36
hizo: 36
alta: 36
puerto: 36
menos: 35
día: 35
sólo: 35
hay: 35
nuestra: 35
también: 35
esfuerzo: 35
río: 34
están: 34
ilustre: 33
ojos: 33
sea: 33
duro: 33
fuera: 33
quién: 33
dar: 33
alto: 32
antes: 32
otras: 32
primero: 31
marte: 31
aun: 31
aquel: 31
largo: 31
bella: 31
camino: 31
manda: 31
ardiente: 30
humano: 30
luso: 30
vuestro: 29
color: 29
