Number of lines (excluding empty): 9931
Number of words: 33452
Number of characters (excluding newlines): 219017

Word occurrences:
gente: 230
terra: 222
tão: 210
rei: 203
mar: 188
onde: 177
grande: 138
tanto: 132
ali: 103
porque: 102
assim: 102
mundo: 101
bem: 98
reino: 86
toda: 85
tudo: 83
céu: 83
aqui: 83
vão: 82
sempre: 82
forte: 79
nunca: 77
peito: 76
tempo: 76
contra: 75
ó: 74
outro: 72
nome: 72
parte: 71
todo: 71
todos: 69
fama: 66
logo: 66
lá: 65
enfim: 62
vós: 61
amor: 61
faz: 61
vai: 61
outros: 60
ver: 58
mal: 58
agora: 57
deus: 57
capitão: 57
armas: 56
coo: 55
filho: 55
vida: 55
força: 54
vê: 53
tal: 53
pois: 52
pouco: 52
quanto: 52
águas: 51
gentes: 51
mouro: 50
guerra: 50
desta: 50
terras: 49
morte: 49
grandes: 49
gama: 49
manda: 48
olhos: 47
cidade: 47
povo: 46
olha: 46
mil: 45
naus: 44
claro: 44
poder: 43
ter: 43
vendo: 43
água: 43
vento: 43
mouros: 43
ilustre: 42
fez: 42
ondas: 42
ilha: 42
fogo: 42
menos: 40
vista: 40
si: 39
sol: 39
dia: 38
nenhum: 38
vês: 38
arte: 37
alto: 37
longe: 37
glória: 36
certo: 36
pode: 36
têm: 36
duro: 36
vem: 36
costa: 36
esforço: 36
nobre: 36
lei: 35
ardente: 35
feitos: 35
armada: 35
pera: 35
primeiro: 34
dar: 34
pátria: 34
doce: 34
vêm: 33
outra: 33
sobre: 33
alta: 33
palavras: 33
deste: 33
outras: 33
antes: 32
deuses: 32
disse: 32
dá: 32
vezes: 32
ainda: 31
gesto: 31
cuja: 31
diante: 31
algum: 31
campo: 31
neste: 31
dura: 31
tanta: 31
rio: 30
cor: 30
inda: 30
donde: 30
sangue: 30
segundo: 30
co: 30
novo: 29
enquanto: 29
ouro: 29
índia: 29
coração: 29
engano: 29
muitos: 29
humano: 28
parece: 28
inimigos: 28
várias: 28
afonso: 27
ventos: 27
companhia: 27
porém: 27
tais: 27
sendo: 27
posto: 27
mares: 26
reis: 26
partes: 26
caminho: 26
verdade: 26
rica: 26
ti: 26
ferro: 26
lusitano: 25
vereis: 25
tejo: 25
ar: 25
frota: 25
dando: 25
mui: 25
luz: 25
dum: 25
viu: 25
somente: 25
sorte: 25
santa: 25
mão: 25
canto: 24
perigos: 24
obras: 24
santo: 24
estranha: 24
largo: 24
voz: 24
leve: 24
nova: 24
bela: 24
então: 24
junto: 24
pai: 24
braço: 24
fazer: 24
traz: 24
marte: 23
vosso: 23
vitória: 23
memória: 23
fim: 23
rosto: 23
corpo: 23
antigo: 23
formosa: 23
uns: 23
grão: 23
filhos: 23
gentio: 22
eis: 22
sabe: 22
trabalhos: 22
diz: 22
desejo: 22
trabalho: 22
dano: 22
montes: 22
chama: 22
porto: 22
espada: 22
quis: 22
cujo: 21
frio: 21
oceano: 21
dizendo: 21
feito: 21
dizia: 21
caso: 21
portugueses: 21
via: 21
longo: 21
alegria: 21
coos: 21
alguns: 21
mãe: 21
peitos: 21
tantas: 21
buscar: 21
vinha: 21
leva: 21
fazem: 21
fera: 21
fará: 21
temor: 20
cristo: 20
fero: 20
ir: 20
velas: 20
velho: 20
razão: 20
coa: 20
fortuna: 20
fortes: 20
ventura: 20
medo: 20
ninfas: 20
divina: 20
fica: 20
altos: 20
quer: 20
campos: 20
vários: 20
humana: 19
idade: 19
vil: 19
quase: 19
vossos: 19
irado: 19
céus: 19
padre: 19
tomar: 19
antiga: 19
tantos: 19
nesta: 19
fazendo: 19
inimigo: 19
todas: 19
mãos: 19
lágrimas: 19
muros: 19
amores: 19
despois: 19
lusitana: 18
sublime: 18
lança: 18
mostra: 18
escura: 18
oriente: 18
juntamente: 18
clara: 18
sereno: 18
pouca: 18
deusa: 18
ledo: 18
ora: 18
sinal: 18
forças: 18
fria: 18
profundo: 18
monte: 18
senhor: 17
toma: 17
qualquer: 17
dois: 17
paz: 17
passa: 17
horrendo: 17
nela: 17
seguro: 17
tens: 17
cada: 17
perigo: 17
cores: 17
piloto: 17
português: 17
três: 17
firme: 17
triste: 17
filha: 17
grã: 17
fé: 16
império: 16
valor: 16
vossa: 16
cavaleiro: 16
reinos: 16
luso: 16
baco: 16
novas: 16
cabeça: 16
potente: 16
consigo: 16
trazia: 16
vontade: 16
vir: 16
nau: 16
daqui: 16
corre: 16
ama: 16
soberba: 16
ninfa: 16
castela: 16
ira: 16
dom: 16
cabo: 16
virtude: 16
praia: 15
deixa: 15
cá: 15
pensamento: 15
estrelas: 15
pólo: 15
rico: 15
indo: 15
soberbo: 15
batéis: 15
larga: 15
maneira: 15
nada: 15
noite: 15
geração: 15
falso: 15
destes: 15
manha: 15
conselho: 15
sós: 15
torna: 15
flores: 15
príncipe: 15
maior: 15
dão: 15
anos: 15
terreno: 15
antigos: 15
áfrica: 14
esperança: 14
prémio: 14
deseja: 14
favor: 14
assento: 14
castelhano: 14
breve: 14
vénus: 14
estende: 14
amigo: 14
ilhas: 14
braços: 14
lusitanos: 14
fronte: 14
nisto: 14
usado: 14
alma: 14
melhor: 14
veio: 14
mortos: 14
senão: 14
deixando: 14
saber: 14
bravo: 14
leis: 14
f: 14
eterna: 14
moço: 14
engenho: 13
sábio: 13
vitórias: 13
famosa: 13
deu: 13
meio: 13
jugo: 13
doze: 13
cousas: 13
júpiter: 13
começa: 13
passados: 13
furor: 13
amigos: 13
passar: 13
espanha: 13
honras: 13
mata: 13
serra: 13
andava: 13
colo: 13
casa: 13
causa: 13
cima: 13
pôr: 13
responde: 13
ficou: 13
má: 13
poucos: 13
homens: 13
casos: 13
alegre: 13
novos: 13
perto: 13
nobres: 13
quais: 13
douro: 13
cidades: 13
senhores: 13
setas: 13
sono: 13
muitas: 13
anda: 13
fundo: 13
exército: 13
damas: 13
animais: 13
falta: 13
netuno: 13
guerras: 12
fizeram: 12
fúria: 12
preço: 12
amada: 12
tomou: 12
eterno: 12
verdadeiro: 12
joane: 12
aurora: 12
espanto: 12
bárbaro: 12
senhorio: 12
cortando: 12
esconde: 12
raios: 12
divino: 12
obriga: 12
razões: 12
vencedor: 12
língua: 12
pôs: 12
puro: 12
vela: 12
costumes: 12
modo: 12
buscando: 12
veja: 12
súbito: 12
desse: 12
dama: 12
portuguesa: 12
estreito: 12
presa: 12
entra: 12
fraco: 12
dous: 12
estando: 12
fala: 12
famoso: 12
pés: 12
feia: 12
praias: 12
ousadia: 12
aves: 12
primeira: 12
altas: 12
ajuda: 11
sois: 11
excelente: 11
22: 11
feros: 11
humanos: 11
fado: 11
longos: 11
quantos: 11
negro: 11
cousa: 11
banda: 11
palma: 11
leda: 11
desejada: 11
tamanho: 11
chegado: 11
nações: 11
correndo: 11
cristãos: 11
podia: 11
põe: 11
foge: 11
descoberto: 11
vingança: 11
pede: 11
natureza: 11
alheio: 11
pura: 11
bom: 11
brando: 11
piedade: 11
apresenta: 11
subido: 11
duros: 11
aparece: 11
cavalos: 11
vi: 11
estima: 11
dias: 11
naturais: 11
dizem: 11
portugal: 11
vencido: 11
lanças: 11
castigo: 11
paços: 11
pedro: 11
fernando: 11
pena: 11
cos: 11
fazenda: 11
passo: 11
coisas: 11
nele: 11
catual: 11
assi: 11
1: 10
2: 10
3: 10
4: 10
mim: 10
som: 10
5: 10
6: 10
pequena: 10
mande: 10
7: 10
8: 10
torpe: 10
9: 10
10: 10
conhecido: 10
11: 10
12: 10
13: 10
14: 10
15: 10
16: 10
17: 10
almas: 10
18: 10
povos: 10
19: 10
20: 10
dado: 10
nasce: 10
23: 10
24: 10
25: 10
pequeno: 10
26: 10
inimiga: 10
27: 10
vedes: 10
28: 10
29: 10
tendo: 10
30: 10
31: 10
32: 10
33: 10
34: 10
pretende: 10
35: 10
36: 10
37: 10
38: 10
obedece: 10
39: 10
40: 10
tomada: 10
41: 10
42: 10
43: 10
receio: 10
44: 10
45: 10
daquela: 10
46: 10
verdadeira: 10
47: 10
48: 10
49: 10
50: 10
51: 10
lago: 10
52: 10
53: 10
natura: 10
certa: 10
54: 10
55: 10
56: 10
57: 10
58: 10
59: 10
60: 10
