Lossy counting results (epsilon=0.001):
Total words processed: 187737
Bucket width: 1000

Word occurrences:
said: 2437
quixote: 1930
sancho: 1906
one: 1384
would: 1059
thou: 1048
say: 716
good: 661
may: 647
see: 581
thee: 579
without: 529
know: 526
made: 494
could: 492
upon: 481
us: 468
time: 464
come: 463
great: 462
well: 462
let: 459
make: 408
like: 389
give: 381
though: 376
master: 375
take: 372
thy: 357
go: 356
señor: 330
two: 324
must: 320
came: 309
worship: 296
god: 291
tell: 290
way: 281
man: 272
much: 253
shall: 244
knight: 240
replied: 240
lady: 237
might: 224
world: 209
life: 204
many: 188
never: 177
little: 163
even: 160
saw: 156
duchess: 155
another: 152
first: 150
duke: 141
found: 136
heard: 133
told: 132
hand: 128
left: 127
put: 124
curate: 123
took: 121
love: 120
heart: 118
nothing: 117
eyes: 110
day: 110
head: 109
going: 107
name: 104
went: 104
seen: 99
gave: 97
dont: 97
governor: 96
asked: 95
dulcinea: 90
truth: 85
art: 83
words: 82
house: 82
saying: 77
end: 76
back: 76
called: 69
mind: 69
things: 69
three: 69
leave: 68
find: 66
ill: 66
panza: 63
father: 62
seeing: 59
long: 57
ever: 56
friend: 54
squire: 53
true: 49
mine: 49
still: 48
however: 44
better: 44
done: 42
heaven: 42
away: 42
government: 39
cannot: 36
whole: 36
look: 36
daughter: 36
arms: 35
antonio: 35
night: 34
answer: 32
place: 31
think: 31
given: 31
hands: 30
island: 29
history: 28
roque: 27
set: 26
village: 26
beauty: 24
la: 23
viceroy: 23
altisidora: 23
anything: 22
mancha: 22
days: 21
present: 21
already: 19
teresa: 19
enough: 18
returned: 18
im: 17
wife: 17
quixotes: 17
niece: 17
doubt: 16
right: 16
whether: 16
álvaro: 15
men: 14
got: 14
sort: 14
part: 13
brought: 13
word: 13
keep: 13
bachelor: 13
sleep: 13
soon: 12
fair: 12
gentleman: 12
read: 11
taken: 11
get: 11
believe: 11
full: 11
death: 11
housekeeper: 11
ricote: 10
white: 10
shepherd: 10
people: 9
dapple: 9
gregorio: 9
moon: 9
hundred: 9
thought: 8
making: 8
thousand: 8
coming: 8
voice: 8
thyself: 8
show: 7
duenna: 7
room: 7
lord: 7
hast: 7
lashes: 7
says: 6
duennas: 6
city: 6
sanchos: 6
general: 6
armour: 6
foot: 6
vanquished: 6
thing: 6
lay: 6
chivalry: 6
samson: 6
notary: 6
pedro: 5
passed: 5
galleys: 5
ana: 5
thoughts: 5
painted: 5
new: 5
bed: 5
books: 5
poor: 4
castle: 4
tosilos: 4
